SMILES_acc,SMILES_don,Voc,Jsc,FF,PCE,HOMO_A,LUMO_A,EgCV_A,λ_A_absorption,EgA_opt,HOMO_D,LUMO_D,EgCV_D,λ_D_absorption,EgD_opt
CCCCCCc%15ccc(C%14(c1ccc(CCCCCC)cc1)Cc9cc8/C5=C(C4SC(C=c3c(=O)c2ccccc2c3=C(C#N)C#N)CC4S5)\C(c6ccc(CCCCCC)cc6)(c7ccc(CCCCCC)cc7)c8cc9c%13sc%12cc(C=c%11c(=O)c%10ccccc%10c%11=C(C#N)C#N)sc%12c%13%14)cc%15,CCCCC(CC)COCc3c1cc(C)sc1c(OCC(CC)CCCC)c4cc(/C2=C/C(C(=O)OC)/C=C(C)\S2)sc34,0.91,6.32,32.85,1.89,-5.69,-4.11,1.58,800.0,1.55,-5.43,-3.37,2.06,625.0,1.98
CCCCCCc%15ccc(C%14(c1ccc(CCCCCC)cc1)Cc9cc8/C5=C(C4SC(C=c3c(=O)c2ccccc2c3=C(C#N)C#N)CC4S5)\C(c6ccc(CCCCCC)cc6)(c7ccc(CCCCCC)cc7)c8cc9c%13sc%12cc(C=c%11c(=O)c%10ccccc%10c%11=C(C#N)C#N)sc%12c%13%14)cc%15,CCCCC(CC)COCc3c1cc(C)sc1c(OCC(CC)CCCC)c4cc(/C2=C/C(C(=O)OC)/C=C(C)\S2)sc34,0.91,6.84,33.22,2.08,-5.69,-4.11,1.58,800.0,1.55,-5.43,-3.37,2.06,625.0,1.98
CCCCCCc%15ccc(C%14(c1ccc(CCCCCC)cc1)Cc9cc8/C5=C(C4SC(C=c3c(=O)c2ccccc2c3=C(C#N)C#N)CC4S5)\C(c6ccc(CCCCCC)cc6)(c7ccc(CCCCCC)cc7)c8cc9c%13sc%12cc(C=c%11c(=O)c%10ccccc%10c%11=C(C#N)C#N)sc%12c%13%14)cc%15,CCOC(=O)c1ccsc1-c1cc2c(-c3ccc(CC)s3)c3sc(-c4cc(C(=O)OCC)c(-c5cc6c(-c7ccc(CC)s7)c7sc(-c8cc(C(=O)OCC)c(-c9cc%10c(-c%11ccc(CC)s%11)c%11sccc%11c(-c%11ccc(CC)s%11)c%10s9)s8)cc7c(-c7ccc(CC)s7)c6s5)s4)cc3c(-c3ccc(CC)s3)c2s1,0.89,6.21,66.09,3.65,-5.69,-4.11,1.58,800.0,1.55,-5.42,-3.4,2.02,635.0,1.95
CCCCCCc%15ccc(C%14(c1ccc(CCCCCC)cc1)Cc9cc8/C5=C(C4SC(C=c3c(=O)c2ccccc2c3=C(C#N)C#N)CC4S5)\C(c6ccc(CCCCCC)cc6)(c7ccc(CCCCCC)cc7)c8cc9c%13sc%12cc(C=c%11c(=O)c%10ccccc%10c%11=C(C#N)C#N)sc%12c%13%14)cc%15,CCOC(=O)c1ccsc1-c1cc2c(-c3ccc(CC)s3)c3sc(-c4cc(C(=O)OCC)c(-c5cc6c(-c7ccc(CC)s7)c7sc(-c8cc(C(=O)OCC)c(-c9cc%10c(-c%11ccc(CC)s%11)c%11sccc%11c(-c%11ccc(CC)s%11)c%10s9)s8)cc7c(-c7ccc(CC)s7)c6s5)s4)cc3c(-c3ccc(CC)s3)c2s1,0.94,11.95,63.38,7.13,-5.69,-4.11,1.58,800.0,1.55,-5.42,-3.4,2.02,635.0,1.95
CCCCCCc%15ccc(C%14(c1ccc(CCCCCC)cc1)Cc9cc8/C5=C(C4SC(C=c3c(=O)c2ccccc2c3=C(C#N)C#N)CC4S5)\C(c6ccc(CCCCCC)cc6)(c7ccc(CCCCCC)cc7)c8cc9c%13sc%12cc(C=c%11c(=O)c%10ccccc%10c%11=C(C#N)C#N)sc%12c%13%14)cc%15,CCOC(=O)c1ccsc1-c1cc2c(-c3ccc(CC)s3)c3sc(-c4cc(C(=O)OCC)c(-c5cc6c(-c7ccc(CC)s7)c7sc(-c8cc(C(=O)OCC)c(-c9cc%10c(-c%11ccc(CC)s%11)c%11sccc%11c(-c%11ccc(CC)s%11)c%10s9)s8)cc7c(-c7ccc(CC)s7)c6s5)s4)cc3c(-c3ccc(CC)s3)c2s1,0.95,15.96,53.6,8.09,-5.69,-4.11,1.58,800.0,1.55,-5.42,-3.4,2.02,635.0,1.95
CCCCCCc%15ccc(C%14(c1ccc(CCCCCC)cc1)Cc9cc8/C5=C(C4SC(C=c3c(=O)c2ccccc2c3=C(C#N)C#N)CC4S5)\C(c6ccc(CCCCCC)cc6)(c7ccc(CCCCCC)cc7)c8cc9c%13sc%12cc(C=c%11c(=O)c%10ccccc%10c%11=C(C#N)C#N)sc%12c%13%14)cc%15,CCOC(=O)c1ccsc1-c1cc2c(-c3ccc(CC)s3)c3sc(-c4cc(C(=O)OCC)c(-c5cc6c(-c7ccc(CC)s7)c7sc(-c8cc(C(=O)OCC)c(-c9cc%10c(-c%11ccc(CC)s%11)c%11sccc%11c(-c%11ccc(CC)s%11)c%10s9)s8)cc7c(-c7ccc(CC)s7)c6s5)s4)cc3c(-c3ccc(CC)s3)c2s1,0.95,15.63,58.41,8.66,-5.69,-4.11,1.58,800.0,1.55,-5.42,-3.4,2.02,635.0,1.95
CCCCCCc%15ccc(C%14(c1ccc(CCCCCC)cc1)Cc9cc8/C5=C(C4SC(C=c3c(=O)c2ccccc2c3=C(C#N)C#N)CC4S5)\C(c6ccc(CCCCCC)cc6)(c7ccc(CCCCCC)cc7)c8cc9c%13sc%12cc(C=c%11c(=O)c%10ccccc%10c%11=C(C#N)C#N)sc%12c%13%14)cc%15,CCOC(=O)c1ccsc1-c1cc2c(-c3ccc(CC)s3)c3sc(-c4cc(C(=O)OCC)c(-c5cc6c(-c7ccc(CC)s7)c7sc(-c8cc(C(=O)OCC)c(-c9cc%10c(-c%11ccc(CC)s%11)c%11sccc%11c(-c%11ccc(CC)s%11)c%10s9)s8)cc7c(-c7ccc(CC)s7)c6s5)s4)cc3c(-c3ccc(CC)s3)c2s1,0.95,17.01,60.08,9.73,-5.69,-4.11,1.58,800.0,1.55,-5.42,-3.4,2.02,635.0,1.95
CCCCCCCCCCCc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc4c5c(sc34)c6c(CN5CC(CC)CCCC)c%12c(c7nsnc67)c%11sc%10c(CCCCCCCCCCC)c(C=c9c(=O)c8cc(CF)c(F)cc8c9=C(C#N)C#N)sc%10c%11n%12CC(CC)CCCC,CCSc1sc(-c2c3cc(-c4cc(CC)c(-c5cc(CC)c(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)s4)sc3c(-c3cc(F)c(SCC)s3)c3cc(-c4cc(CC)c(-c5cc(CC)c(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)s4)sc23)cc1F,0.85,23.16,69.66,13.69,-5.7,-4.08,1.62,930.0,1.33,-5.59,-3.61,1.98,640.0,1.94
CCc1c(/C=C2\C(=O)c3cc(Cl)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(Cl)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,CCc1cc(-c2cc3c(-c4cc(Cl)c(CC)s4)c4sc(-c5cc(CC)c(-c6cc(CC)c(-c7ccc(/C=C8/SC(=S)N(CC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CC)s4)c3s2)sc1-c1cc(CC)c(-c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)s1,0.82,24.58,75.36,15.3,-5.74,-3.96,1.78,933.7,1.33,-5.46,-3.7,1.76,700.0,1.77
CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,CCc1cc(-c2cc3c(-c4cc(Cl)c(CC)s4)c4sc(-c5cc(CC)c(-c6cc(CC)c(-c7ccc(/C=C8/SC(=S)N(CC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CC)s4)c3s2)sc1-c1cc(CC)c(-c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)s1,0.82,22.35,71.41,13.1,-5.7,-3.91,1.79,934.7,1.33,-5.46,-3.7,1.76,700.0,1.77
